Jahresliste der Sonnenauf- und -untergänge
Längengrad:	14 °E
Breitengrad:	46 °N
Zeitzone:	GMT + 1 h
Alle Berechnungen erfolgen in der vordefinierten Zeitzone.
Umstellungen von Sommer- auf Winterzeit werden nicht berücksichtigt!

Datum	Sonnenaufgang	Sonnenuntergang
1.1.2013 	07:48:02	16:27:27
2.1.2013 	07:48:02	16:28:23
3.1.2013 	07:47:58	16:29:23
4.1.2013 	07:47:53	16:30:24
5.1.2013 	07:47:44	16:31:27
6.1.2013 	07:47:34	16:32:31
7.1.2013 	07:47:20	16:33:38
8.1.2013 	07:47:04	16:34:46
9.1.2013 	07:46:45	16:35:55
10.1.2013 	07:46:23	16:37:08
11.1.2013 	07:45:59	16:38:20
12.1.2013 	07:45:31	16:39:34
13.1.2013 	07:45:01	16:40:50
14.1.2013 	07:44:28	16:42:06
15.1.2013 	07:43:54	16:43:25
16.1.2013 	07:43:17	16:44:44
17.1.2013 	07:42:38	16:46:05
18.1.2013 	07:41:55	16:47:26
19.1.2013 	07:41:11	16:48:47
20.1.2013 	07:40:23	16:50:11
21.1.2013 	07:39:34	16:51:34
22.1.2013 	07:38:43	16:52:59
23.1.2013 	07:37:50	16:54:25
24.1.2013 	07:36:54	16:55:51
25.1.2013 	07:35:54	16:57:17
26.1.2013 	07:34:55	16:58:44
27.1.2013 	07:33:52	17:00:12
28.1.2013 	07:32:47	17:01:39
29.1.2013 	07:31:40	17:03:08
30.1.2013 	07:30:32	17:04:36
31.1.2013 	07:29:23	17:06:05
1.2.2013 	07:28:10	17:07:35
2.2.2013 	07:26:56	17:09:04
3.2.2013 	07:25:40	17:10:33
4.2.2013 	07:24:23	17:12:04
5.2.2013 	07:23:04	17:13:33
6.2.2013 	07:21:41	17:15:02
7.2.2013 	07:20:19	17:16:33
8.2.2013 	07:18:55	17:18:02
9.2.2013 	07:17:29	17:19:32
10.2.2013 	07:16:02	17:21:01
11.2.2013 	07:14:34	17:22:32
12.2.2013 	07:13:03	17:24:01
13.2.2013 	07:11:32	17:25:30
14.2.2013 	07:10:00	17:26:59
15.2.2013 	07:08:26	17:28:28
16.2.2013 	07:06:50	17:29:57
17.2.2013 	07:05:13	17:31:25
18.2.2013 	07:03:36	17:32:52
19.2.2013 	07:01:57	17:34:21
20.2.2013 	07:00:17	17:35:48
21.2.2013 	06:58:36	17:37:16
22.2.2013 	06:56:55	17:38:43
23.2.2013 	06:55:12	17:40:11
24.2.2013 	06:53:27	17:41:36
25.2.2013 	06:51:42	17:43:03
26.2.2013 	06:49:58	17:44:29
27.2.2013 	06:48:12	17:45:54
28.2.2013 	06:46:24	17:47:21
1.3.2013 	06:44:36	17:48:46
2.3.2013 	06:42:47	17:50:10
3.3.2013 	06:40:58	17:51:35
4.3.2013 	06:39:08	17:52:59
